sex;address;Pstatus;studytime;failures;romantic;famrel;freetime;goout;absences;Dalc;Walc
F;U;A;2;0;no;4;3;4;6;1;1
F;U;T;2;0;no;5;3;3;4;1;1
F;U;T;2;3;no;4;3;2;10;2;3
F;U;T;3;0;yes;3;2;2;2;1;1
F;U;T;2;0;no;4;3;2;4;1;2
M;U;T;2;0;no;5;4;2;10;1;2
M;U;T;2;0;no;4;4;4;0;1;1
F;U;A;2;0;no;4;1;4;6;1;1
M;U;A;2;0;no;4;2;2;0;1;1
M;U;T;2;0;no;5;5;1;0;1;1
F;U;T;2;0;no;3;3;3;0;1;2
F;U;T;3;0;no;5;2;2;4;1;1
M;U;T;1;0;no;4;3;3;2;1;3
M;U;T;2;0;no;5;4;3;2;1;2
M;U;A;3;0;yes;4;5;2;0;1;1
F;U;T;1;0;no;4;4;4;4;1;2
F;U;T;3;0;no;3;2;3;6;1;2
F;U;T;2;0;no;5;3;2;4;1;1
M;U;T;1;3;no;5;5;5;16;2;4
M;U;T;1;0;no;3;1;3;4;1;3
M;U;T;2;0;no;4;4;1;0;1;1
M;U;T;1;0;no;5;4;2;0;1;1
M;U;T;2;0;no;4;5;1;2;1;3
M;U;T;2;0;no;5;4;4;0;2;4
F;R;T;3;0;no;4;3;2;2;1;1
F;U;T;1;2;no;1;2;2;14;1;3
M;U;T;1;0;no;4;2;2;2;1;2
M;U;T;1;0;no;2;2;4;4;2;4
M;U;A;2;0;no;5;3;3;4;1;1
M;U;T;2;0;yes;4;4;5;16;5;5
M;U;T;2;0;no;5;4;2;0;3;4
M;U;T;2;0;no;4;3;1;0;1;1
M;R;T;2;0;yes;4;5;2;0;1;1
M;U;T;2;0;no;5;3;2;0;1;1
M;U;T;1;0;no;5;4;3;0;1;1
F;U;T;1;0;no;3;5;1;0;1;1
M;U;T;3;0;no;5;4;3;2;1;1
M;R;A;3;0;yes;2;4;3;7;1;1
F;R;T;3;0;no;4;3;2;2;1;1
F;R;T;1;0;no;4;3;1;8;1;1
F;U;T;2;1;yes;3;3;3;25;1;2
M;U;T;1;0;yes;5;4;3;8;2;4
M;U;T;2;0;no;4;3;3;2;1;1
M;U;T;1;0;no;5;4;1;0;1;1
F;U;T;2;1;no;4;3;3;14;2;2
F;U;A;2;0;yes;5;2;2;8;1;1
F;U;A;2;0;no;2;3;5;12;1;4
M;U;T;4;0;no;4;2;2;4;1;1
M;U;T;2;0;no;4;3;3;2;2;2
F;U;T;2;1;no;4;4;4;2;1;1
F;U;T;2;0;no;4;3;3;2;2;3
F;U;T;2;0;no;4;3;3;2;1;1
M;U;A;1;1;no;5;5;5;6;3;4
F;U;T;1;0;no;3;3;4;0;2;3
F;U;A;1;0;no;5;3;4;6;4;4
F;U;A;2;0;yes;5;3;4;8;1;1
F;U;A;2;0;no;4;3;2;0;1;1
M;U;T;2;0;no;3;2;2;4;1;1
M;U;T;2;0;no;4;3;2;2;1;1
F;U;T;2;0;no;4;2;3;2;1;1
F;R;T;2;0;no;2;4;4;6;2;3
F;U;T;1;0;yes;5;5;5;6;5;5
F;U;T;2;0;no;4;4;3;4;1;1
